account_id,account_name,segment,priority,status,website_url,contact_url,contact_method_summary,example_listing_url,example_listing_name,why_fit,caveats,next_action
ATH-011,Urban Stripes Athens,Boutique suites/apartments brand in Koukaki,A,ready_to_contact,https://www.urbanstripesathens.com/en/,https://www.urbanstripesathens.com/en/contact,"Contact page/footer: info@urbanstripesathens.com; +30 210 9219399; Veikou 37 Koukaki.",https://www.urbanstripesathens.com/en/acropolis-designers-signature-residence,Acropolis Signature Residence,"Design-forward Koukaki apartment collection near Acropolis; visual/storytelling improvements are easy to demonstrate.","Already polished brand; need sharp, respectful audit not generic critique.",Send high-quality boutique audit message
ATH-012,Athenian Residences,Boutique residences / rooms in Psirri,B,ready_to_contact,https://www.athenianresidences.com/,https://www.athenianresidences.com/contact-us/,"Contact page/footer: reservations@athenianresidences.com; +30 2103210234; phone link +30 6970014630.",https://www.athenianresidences.com/rooms-and-accommodation/,Modern Rooms / Traditional Rooms,"Strong accommodation story in Psirri; room/category pages may benefit from clearer guest-positioning.","Grouped room categories, not many individual apartments; treat as direct-booking page optimization.",Send direct-booking page audit message
ATH-013,Still Athens,Small design hotel / room-and-suite operator,B,ready_to_contact,https://www.stillathens.com/en/,https://www.stillathens.com/en/contact,"Contact page: info@stillathens.com; +30 210 3242713; reservations +30 694 825 7753.",https://www.stillathens.com/en/room/suite-with-private-balcony,Suite with Private Balcony,"Small central design rooms/suites; individual suite pages with amenities/story. Could test hotel-like operator response.","More hotel than STR; lower priority for Airbnb-specific offer.",Send hotel-like direct-booking version only if A-list exhausted
ATH-014,Dinostratus House,Boutique self-service studio operator in Neos Kosmos,B,ready_to_contact,https://www.dinostratushouse.com/en/,https://www.dinostratushouse.com/en/contact/,"Contact page: dinostratushouse@gmail.com; WhatsApp +30-694-630-3962; Deinostratou 32 Neos Kosmos.",https://www.dinostratushouse.com/en/queen-studio-athens-center-boutique,Queen Studio,"Very small/self-service studio brand; likely founder/operator reachable and may value practical improvements.","Small inventory; $300 economics depend on ADR/occupancy.",Send personal/direct message
ATH-015,Athens Stay,Aparthotel / serviced-apartment collection in Athens city centre,B,ready_to_contact,https://athens-stay.com/,https://athens-stay.com/index.php/contact/,"Footer/contact: welcome@athens-stay.com; reservations@athens-stay.com; +30 2109220486.",https://athens-stay.com/index.php/our-aparthotels-athens-stay/,Filopappou Hill Suites,"Collection of 9 aparthotels and 139 serviced apartments; large enough for batch economics.","Hospitality brand; may require B2B/operator positioning not host framing.",Send operator/batch micro-audit message
ATH-016,Athens Green Apartments,Short-stay apartment rentals in Athens,B,ready_to_contact,https://athensgreen.gr/,https://athensgreen.gr/en/534452/contact-us2,"Contact page/source: info@athensgreen.gr; +30 210 7523712; direct booking via SabeeApp.",https://athensgreen.gr/en/536721/all-properties/,Apartment 1 / Apartment collection,"Short-stay/luxury apartment rentals with multiple unit pages; likely fit for OTA/direct listing improvements.","HTTPS/redirect behavior inconsistent; verify contact page before sending.",Verify page manually then send
ATH-017,The Foundry Suites Athens,Luxury rooms / apartment suites in Athens,B,ready_to_contact,https://thefoundrysuitesathens.com/,https://thefoundrysuitesathens.com/contact/,"Contact page/footer: info@thefoundrysuitesathens.com; +30 211 18 24 604.",https://thefoundrysuitesathens.com/apartments/apartment-a0/,Apartment A0,"Boutique luxury suites/apartment pages; strong visual/content funnel but likely already premium.","Polished boutique hotel; only use if preview is truly specific.",Send only with high-quality micro-audit
ATH-018,The Athenians,Modern apartment brand in Athens,B,ready_to_contact,https://theathenians.gr/,https://theathenians.gr/contact/,"Contact page; phone visible: +30 218 2189671; portfolio pages available.",https://theathenians.gr/portfolio-item/the-gold/,The Gold Apartment,"Central branded apartments; prior Athens sprint marked direct contact found and central product.","Prior scoring was below 70 due to insufficient ADR/review proof; use as B-list not first 10.",Use if A-list reply rate is weak
ATH-019,Olala Homes,Athens multi-city serviced apartment/operator inventory,C,ready_to_contact,https://www.olalahomes.com/,https://www.olalahomes.com/en/properties?city=Athens&country=Greece&minOccupancy=1,"Public site has Athens property inventory and contact/social routes; prior sprint found agency phone + Instagram.",https://www.olalahomes.com/en/properties?city=Athens&country=Greece&minOccupancy=1,Soho / Kolonaki Boutique / Athens ONE inventory,"Very contactable and easy to source at volume.","Prior sprint found weak economics/low ADR for many Athens units; poor $300 fit unless bundled or higher-ADR unit found.",Do not prioritize for $300 one-off; keep as contactability control
ATH-020,Hestia Luxury Apartments,Athens luxury apartment portfolio,B,needs_manual_verification,https://hestia-apartments.com/,https://hestia-apartments.com/,"Site source/metadata shows Hestia Luxury Apartments in Athens and phone numbers +30 2107295925 / +30 6973439787; contact URL returned themed 404 but page still exposed contact assets.",https://hestia-apartments.com/,Hestia Luxury Apartments Athens,"Large luxury-apartment positioning; likely fit if contact/listing pages verified manually.","Contact/listing URLs need manual browser verification before outreach; do not send until confirmed.",Manually verify contact and example unit before outreach
